"sp_taxon_1";"sp_taxon_2";"value";"type";"direction"
"Ambystoma laterale";"Acilius";"1";"predation";"directed"
"A. maculatum";"Acilius";"1";"predation";"directed"
"A. tremblayi";"Acilius";"1";"predation";"directed"
"Dytiscus";"Rana sylvatica";"1";"predation";"directed"
"Dytiscus";"Chaoborus";"1";"predation";"directed"
"Dytiscus";"Acilius";"1";"predation";"directed"
"Dytiscus";"Hydracarina";"1";"predation";"directed"
"Dytiscus";"Odonata";"1";"predation";"directed"
"Dytiscus";"Ranatra";"1";"predation";"directed"
"Dytiscus";"Belostoma";"1";"predation";"directed"
"Ambystoma tigrinum";"Rana sylvatica";"1";"predation";"directed"
"Ambystoma tigrinum";"Gastropods";"1";"predation";"directed"
"Ambystoma tigrinum";"Pelecypods";"1";"predation";"directed"
"Ambystoma tigrinum";"Ambystoma laterale";"1";"predation";"directed"
"Ambystoma tigrinum";"A. maculatum";"1";"predation";"directed"
"Ambystoma tigrinum";"A. tremblayi";"1";"predation";"directed"
"Ambystoma tigrinum";"Dytiscus";"1";"predation";"directed"
"Notophthalmus viridescens";"Daphnia pulex";"1";"predation";"directed"
"Notophthalmus viridescens";"Tendipes";"1";"predation";"directed"
"Notophthalmus viridescens";"Amphipods";"1";"predation";"directed"
"Notophthalmus viridescens";"Ostracods";"1";"predation";"directed"
"Notophthalmus viridescens";"Corixids";"1";"predation";"directed"
"Notophthalmus viridescens";"Gastropods";"1";"predation";"directed"
"Notophthalmus viridescens";"Pelecypods";"1";"predation";"directed"
"Notophthalmus viridescens";"Chaoborus";"1";"predation";"directed"
"Notophthalmus viridescens";"Acilius";"1";"predation";"directed"
"Notophthalmus viridescens";"Dytiscus";"1";"predation";"directed"
"Batracobdella picta (leech)";"Ambystoma laterale";"1";"predation";"directed"
"Batracobdella picta (leech)";"A. maculatum";"1";"predation";"directed"
"Batracobdella picta (leech)";"A. tremblayi";"1";"predation";"directed"
"Batracobdella picta (leech)";"Ambystoma tigrinum";"1";"predation";"directed"
"Ambystoma laterale";"A. maculatum";"1";"competition";"undirected"
"Ambystoma laterale";"A. tremblayi";"1";"competition";"undirected"
"Ambystoma laterale";"Rana sylvatica";"1";"competition";"undirected"
"A. maculatum";"A. tremblayi";"1";"competition";"undirected"
"A. maculatum";"Rana sylvatica";"1";"competition";"undirected"
"A. tremblayi";"Rana sylvatica";"1";"competition";"undirected"
