"Christian, R.R., and Luczkovich, J.J. (1999). Organizing and understanding a winter's seagrass foodweb network through effective trophic levels. Ecological Modelling. 117. pp. 99-124.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goose Creek Bay - St. Marks National Wildlife Refuge - Florida - USA,Benthic bacteria,Microfauna,Meiofauna,Bacterioplankton,Microprotozoa,Epiphyte-grazing amphipods,Suspension-feeding molluscs,Hermit crabs,Spider crabs (herbivores),Omnivorous crabs,Blue crabs,Isopods,Brittle stars,Deposit-feeding peracaridan crustaceans,Herbivorous shrimps,Predatory shrimps,Catfish and stingrays,Tonguefish,Flounder and needlefish,Southern hake and sea robins,Atlantic silverside and bay anchovies,Sheepshead minnow,Killifishes,Gobies and blennies,Pinfish,Spot,Pipefish and seahorses,Red drum,Deposit-feeding gastropods,Predatory gastropods,Epiphyte-grazing gastropods,Other gastropods,Deposit-feeding polychaetes,Predatory polychaetes,Suspension-feeding polychaetes,Zooplankton,Benthos eating birds,Fish-eating birds,Fish and crustacean-eating birds,Gulls,Raptors,Herbivorous ducks
Brittle stars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deposit-feeding peracaridan crustaceans,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0.066,0,0.34,0,0.01,0.13,0.01,0.02,0.17,0.03,0.015,0.125,0.075,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0
Herbivorous shrimps,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.025,0,0,0,0.1,0.025,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Predatory shrimps,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0.27,0.07,0,0,0,0,0.005,0.005,0,0,0,0,0,0,0,0,0,0,0,0.005,0.005,0,0
Catfish and stingrays,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0
Tonguefish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flounder and needlefish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.08,0
Southern hake and sea robins,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0
Atlantic silverside and bay anchovies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.025,0,0
Sheepshead minnow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.005,0.008,0.02,0.02,0
Killifishes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0
Gobies and blennies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0
Pinfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0
Spot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.98,0.41,0.26,0,0.11,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0.05,0.402,0,0,0
Pipefish and seahorses,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red drum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0
Deposit-feeding gastropods,0,0,0,0,0,0,0,0,0,0.045,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.38,0,0,0.7,0,0,0,0,0.23
Predatory gastropods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epiphyte-grazing gastropods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0
Other gastropods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0.01,0,0,0.01,0,0,0,0,0
Deposit-feeding polychaetes,0,0,0,0,0,0,0,0,0,0.026,0,0,0,0,0,0.141,0.015,0,0,0,0.1,0,0,0,0.055,0.08,0.022,0.07,0,0,0,0,0,0.055,0,0,0.065,0,0,0,0,0
Predatory polychaetes,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0.07,0,0,0,0,0.04,0,0,0,0.02,0.02,0.008,0.03,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0
Suspension-feeding polychaetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0,0,0,0,0.01,0,0,0,0.005,0.005,0,0.005,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0
Zooplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.03,0.16,0.005,0.02,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
Benthos eating birds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fish-eating birds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fish and crustacean-eating birds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gulls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raptors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herbivorous ducks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halodule,0,0,0,0,0,0.1,0,0,0.9,0.25,0,0.5,0,0,0.5,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625
Micro-epiphytes,0,0,0,0,0,0.3,0,0,0.05,0.05,0,0.5,0,0,0.5,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.03
Macro-epiphytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benthic algae,0,0.2,0.25,0,0,0.29,0,0.45,0.05,0,0,0,0.375,0.375,0,0,0,0,0,0,0,0.07,0,0,0.23,0.25,0.02,0,0.48,0,0,0,0.25,0,0,0,0,0,0,0,0,0
Phytoplankton,0,0,0,0,0.4,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.88,0,0,0,0,0,0
Detritus,1,0.1,0.6,1,0.1,0.31,0,0.45,0,0.5,0,0,0.4,0.5,0,0.15,0,0,0,0,0,0.07,0.16,0,0.01,0,0,0,0.49,0.695,0,0,0.5,0.09,0,0,0,0,0,0,0,0
