Lake_nb	Lake	S	Prod_pour	Int_pour	Top_pour	Omn_pour	NL	C	Ccor	GenSk	VulSk	MeanDist	MaxDist	MeanTL	MaxTL	Latitude	Longitude	Elevation	Area	Max_depth	Lake_watershed_area	Volume	Prws	Runoff	Ets	Prlake	Evapl	Outflow	Th	pH	ANC	Conductance	SO4	NO3	CA	AL	DOC
29	LongLake	65	0.461538461538462	0.507692307692308	0.0307692307692308	0.571428571428571	417	0.098698224852071	0.186160714285714	0.40832059630707	0.381079223388728	1.08571428571429	2	2.44077276990321	3.71336502332880	44.18	73.55	518	6.5	6.1	0.04	134.7	163.63	109.09	54.54	6.19	4.29	110.99	0.122	6.72	88	32	154	0.7	220	0.4	7.1
30	LoonLake	35	0.457142857142857	0.542857142857143	0	0.526315789473684	118	0.096326530612245	0.182662538699690	1.27631549554684	2.40601146612951	1.05263157894737	2	2.23776876956702	3.19241021324355	44.29	74.10	513	8.5	4.6	0.07	175.8	125.75	71.3	54.44	8.37	5.61	74.06	0.241	4.64	-22	24	133	0.7	80	3.9	4.4
31	LostLake	31	0.387096774193548	0.580645161290323	0.032258064516129	0.315789473684211	148	0.154006243496358	0.259649122807018	0.074511440595842	0.485288479290926	1.15789473684211	2	2.35087719298246	3.53333333333333	44.27	74.17	518	2.4	4	0.09	52.1	26.44	15.46	10.98	2.37	1.58	16.25	0.31	4.82	-16	22	137	0.7	38	4	2.7
32	LostLakeEast	41	0.536585365853659	0.463414634146341	0	0.421052631578947	137	0.0814991076740036	0.180263157894737	0.911552205330988	3.14497008312195	1.21052631578947	2	2.25880566801619	3	43.41	74.39	583	7.8	7.3	0.13	196.6	68.11	42.49	25.61	9.11	5.15	46.46	0.419	7.32	233	33	104	1.4	304	0.4	3.9
34	LowerSisterLake	37	0.405405405405405	0.486486486486487	0.108108108108108	0.545454545454545	161	0.117604090577064	0.203282828282828	0.87799184483977	1.5949506504676	1	1	2.23969389512003	3.06017045454545	43.52	74.46	588	34	3	0.02	546.6	1907.47	1160.7	746.74	40.58	22.45	1178.84	0.046	4.6	-19	22	100	0.7	70	13	4.7
35	OswegoLake	33	0.454545454545455	0.545454545454545	0	0.222222222222222	138	0.126721763085399	0.239583333333333	0.128985958562367	1.83434159450033	1.05555555555556	2	2.28758169934640	3.11764705882353	43.51	74.54	654	3.2	4.3	0.03	56.3	124.84	76.15	48.68	4.06	2.11	78.1	0.069	4.87	-5	21	90	2.1	80	16.5	12
36	OwlLake	30	0.6	0.3	0.1	0.25	71	0.0788888888888889	0.204022988505747	0.782376310738204	2.20582123520029	1	1	2.06060606060606	2.72727272727273	44.16	74.09	475	6.1	4	0.16	119.8	36.09	23.55	12.53	5.93	4.02	25.46	0.479	4.83	-15	21	119	1.4	70	2.8	2.3
37	RatLake	50	0.44	0.56	0	0.714285714285714	273	0.1092	0.198979591836735	0.489576059187407	0.988827106378292	1.14285714285714	2	2.40753190337360	3.62698814382897	44.21	74.18	492	11.7	8.8	0.15	433.3	77.84	46.99	30.85	11.47	7.72	50.73	0.853	6.21	29	21	83	0.7	105	0.4	7.7
38	RazorbackLake	42	0.452380952380952	0.523809523809524	0.0238095238095238	0.521739130434783	179	0.101473922902494	0.189819724284199	0.866353550636554	2.26371833881998	1.08695652173913	2	2.26406649616368	3.48529411764706	43.51	74.55	668	5.3	10.7	0.18	193.1	38.35	24.16	14.19	6.73	3.5	27.39	0.715	5.83	4	20	119	19.3	80	3.3	2.8
39	RockLake	22	0.409090909090909	0.5	0.090909090909091	0.153846153846154	43	0.0888429752066116	0.157509157509158	2.5898562553331	2.70799076917221	1	1	2.05494505494506	2.71428571428571	44.00	75.01	549	21.9	5.2	0.1	580.1	258.54	171.24	87.29	25.86	14.46	182.65	0.311	4.92	-9	20	85	1.4	60	8.8	3.1
40	RussianLake	24	0.416666666666667	0.541666666666667	0.0416666666666667	0.428571428571429	61	0.105902777777778	0.18944099378882	1.73277812501599	2.58026358731789	1.07142857142857	2	2.18877551020408	3.04285714285714	53.50	74.48	565	15	6.4	0.07	5562.1	247.61	147.02	100.59	18.28	9.9	155.4	0.357	4.67	-20	26	117	24.3	65	23.8	2.3
41	SaffordLake	44	0.431818181818182	0.568181818181818	0	0.4	225	0.116219008264463	0.209302325581395	0.669976713363955	1.32086577358686	1.08	2	2.34482237339380	3.45256991685562	43.47	74.54	537	17.4	6.1	0.01	350.7	2090.64	1250.28	840.35	22.53	11.49	1261.33	0.027	5.3	7	22	112	9.3	80	13.7	8.1
42	SandLake	29	0.517241379310345	0.482758620689655	0	0.785714285714286	82	0.0975029726516052	0.209183673469388	0.323859787970517	0.960786413181104	1.07142857142857	2	2.32980769230769	3.14455128205128	44.00	75.00	547	29.1	9.8	0.02	1471.4	1380.58	914.45	466.13	34.37	19.21	929.6	0.156	4.83	-8	24	108	11.4	90	16	4.2
43	SouthLake	22	0.590909090909091	0	0.409090909090909	0	36	0.0743801652892562	0.190476190476190	2.47487373415292	2.01865020875280	1	1	2	2	43.50	74.52	624	16.2	9.1	0.09	315.7	224.02	134.41	89.61	20.57	10.69	144.29	0.213	4.56	-29	21	127	2.9	55	17.3	2.2
44	SquawLake	41	0.609756097560976	0.390243902439024	0	1.125	169	0.100535395597858	0.2640625	0.150898425488671	0.810999245766709	1	1	2.27622556479978	2.86801271645022	42.38	74.44	645	36.4	6.7	0.44	1249.2	94.83	58.06	36.77	45.3	24.03	79.32	1.56	5.75	1	22	127	13.6	105	3.1	2.7
45	StinkLake	53	0.452830188679245	0.547169811320755	0	0.482758620689655	281	0.100035599857601	0.186339522546419	0.685657034869059	2.34293306472945	1.17241379310345	2	2.29828996631123	3.41232307246506	43.37	74.48	582	2.8	4.6	0.02	83.6	146.48	89.34	57.14	359	1.84	91.08	0.092	6.88	71	24	96	2.1	135	3.9	7.5
49	TwelfthTeeLake	31	0.580645161290323	0.419354838709677	0	0.923076923076923	83	0.0863683662851197	0.212820512820513	0.597362485195296	1.98867052418760	1.07692307692308	2	2.25559625559625	2.94179894179894	44.20	74.20	494	2	7.6	0.08	77.3	23.49	14.32	9.16	1.96	1.32	14.97	0.507	4.75	-25	18	71	0.7	50	2.1	4.2
47	TwinLakeEast	13	0.538461538461538	0.230769230769231	0.230769230769231	0.5	17	0.100591715976331	0.236111111111111	1.56880793567813	1.63774432045911	1.16666666666667	2	2.11111111111111	2.66666666666667	43.37	74.38	811	7.7	3.4	0.06	104	167.34	105.68	61.65	9.29	5.08	109.89	0.098	4.39	-39	28	112	2.1	49	22.3	6.1
48	TwinLakeWest	26	0.538461538461538	0.192307692307692	0.269230769230769	0.25	60	0.0887573964497041	0.2	1.00525694067442	1.8048343588973	1.08333333333333	2	2.06666666666667	2.8	43.37	74.38	810	7.6	6.7	0.03	134.3	346.26	218.69	127.57	9.16	5.01	222.84	61	4.17	-68	3	112	2.1	49	34	11
50	WhippleLake	32	0.34375	0.625	0.03125	0.761904761904762	136	0.1328125	0.208909370199693	0.500918802711035	1.03560345154792	1.09523809523810	2	2.40124161552733	3.70098651348651	44.23	74.18	493	3.6	2.9	0.17	59	21.48	12.9	8.58	3.54	2.37	14.07	0.409	4.91	-26	16	56	0.7	45	0.4	5.1
51	WolfLake	27	0.740740740740741	0.259259259259259	0	0.571428571428571	42	0.0576131687242798	0.230769230769231	1.48250864234188	2.47487373415292	1	1	2.09523809523810	2.66666666666667	43.37	74.39	792	4.5	7.6	0.02	121	223.24	142.49	80.74	5.37	2.97	144.89	0.083	4.19	-63	37	119	0.7	45	40.6	9.9
