"Angelini, R., Gomes, L. C., and Agostinho, A. A. (2006). Modeling energy flow in a Large Neotropical Reservoir: a tool do evaluate fishing and stability. Neotropical Ichthyology, Rio Grande do Sul, 4 (2), pp. 253-260.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Itaipu Reservoir 1 - (1983-1987) - Brazil,Benthos,Insects,Zooplankton,Loricaria sp,Schizodon borelii,Hypostomus spp,Prochilodus lineatus,Iheringichthys labrosus,Hypophthalmus edentatus,Trachydoras paraguayensis,Leporinus friderici,Leporinus obtusidens,Parauchenipterus galeatus,Pterodoras granulosus,Astyanax altiparanae,Acestrorhybcus nuchalis,Acestrorhyncus lacustris,Group 2,Group 1,Hoplias malabaricus,Pinirampus pirinampu,Rhaphiodon vulpinis,Moenkhausia intermedia,Megaloancistrus parananus,Rhinelepis aspera,Other detritivores,Other omnivores,Other insectivores
Iheringichthys labrosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.15,0,0,0,0,0,0,0,0,0,0
Hypophthalmus edentatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0
Trachydoras paraguayensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0
Leporinus friderici,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.15,0,0,0,0,0,0,0
Leporinus obtusidens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.2,0,0,0,0,0,0,0,0
Parauchenipterus galeatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.15,0.2,0,0,0,0,0,0
Pterodoras granulosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.2,0.1,0,0,0,0,0,0,0
Astyanax altiparanae,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0.2,0.1,0.1,0,0.1,0.2,0,0,0,0,0,0
Acestrorhybcus nuchalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.05,0,0,0,0,0,0,0,0,0
Acestrorhyncus lacustris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.1,0,0.1,0,0,0,0,0,0
Group 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0
Group 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.1,0,0,0,0,0,0,0,0,0
Hoplias malabaricus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0
Pinirampus pirinampu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0
Rhaphiodon vulpinis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.1,0,0,0,0,0,0
Moenkhausia intermedia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Megaloancistrus parananus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0
Rhinelepis aspera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0
Other detritivores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0.1,0,0,0,0,0,0
Other omnivores,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0.1,0,0.1,0.1,0.05,0,0,0,0,0,0,0,0,0
Other insectivores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.05,0.05,0.1,0,0.1,0,0,0,0,0,0
Detritus,0.5,0.8,0.5,0.6,0,0.8,0.7,0.25,0,0.55,0,0,0,0.1,0.1,0,0,0.15,0,0,0,0,0.7,0.1,0.1,0,0.9,0.8
