"Tavares-Cromar, A.F., and Williams, D.D. (1996). The Importance of Temporal Resolution in Food Web Analysis: Evidence from a Detritus-Based Stream. Ecological Monographs. 66, pp. 91-113.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duffin Creek - Ontario - Canada,Agnetina capitata (1.0-2.0 mm HCW),A. capitata (2.0-3.0 mm HCW),Paragnetina media (0.2-0.4 mm HCW),P. media (0.4-0.5 mm HCW),P. media (1.0-2.0 mm HCW),Rhyacophila fuscula (0.2-0.5 mm HCW),R. fuscula (0.8-10. mm HCW),Optioservus fastiditus,Stenelmis nr. Bicarinata,Promoresia elegans,Ephemerella subvaria,Paraleptophlebia adoptiva,Brachyptera fasciata,Baetis tricaudatus,Paracapnia angulata,Cheumatopsyche sp. (0.2-0.4 mm HCW),Cheumatopsyche sp. (0.4-0.8 mm HCW),Hydropsyche sparna,H. morosa,Dolophilodes distinctus (0-0.4 mm HCW),D. distinctus (0.4-0.6 mm HCW),D. distinctus (1.0-1.2 mm HCW),Micrasema sp.,Glossosoma sp. A,G. nigrior,Nais simplex,Tanytarsus sp.,Cricotopus sp.,Thienemanniella sp.,Rheotanytarsus sp.,?Rheosmittia sp.,Parametriocnemus sp.,Eukiefferiella brehmi grp.,Stempellina montivaga grp.,Eukiefferiella gracei grp.,Antocha sp.,fungal hyphae,diatoms,detritus,microinorganic particles,vascular plant material,other algae,chitin fragments,soft body parts,chironomids 
Cricotopus sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thienemanniella sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rheotanytarsus sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?Rheosmittia sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parametriocnemus sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukiefferiella brehmi grp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stempellina montivaga grp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukiefferiella gracei grp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antocha sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fungal hyphae,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
diatoms,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
detritus,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
microinorganic particles,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
vascular plant material,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
other algae,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
chitin fragments,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
soft body parts,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chironomids ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
