"sp_taxon_1";"sp_taxon_2";"value";"type";"method"
"Cambarus tenebrosus";"Centroptilium rufostrigatum";"1";"predation";"gut content"
"Cambarus tenebrosus";"Epeorus pleuralis";"1";"predation";"gut content"
"Cambarus tenebrosus";"Neophylax autumnus";"1";"predation";"gut content"
"Cambarus tenebrosus";"Tendipedidae (unspecified)";"1";"predation";"gut content"
"Cambarus tenebrosus";"Simulium sp.";"1";"predation";"gut content"
"Cambarus tenebrosus";"detritus";"1";"commensalism";"gut content"
"Isoperla clio";"Diplectrona modesta";"1";"predation";"gut content"
"Isoperla clio";"Phyacophila parantra";"1";"predation";"gut content"
"Isoperla clio";"Asellus brevicaudus";"1";"predation";"gut content"
"Isoperla clio";"Baetis phoebus";"1";"predation";"gut content"
"Isoperla clio";"B. herodes";"1";"predation";"gut content"
"Isoperla clio";"Centroptilium rufostrigatum";"1";"predation";"gut content"
"Isoperla clio";"Epeorus pleuralis";"1";"predation";"gut content"
"Isoperla clio";"Neophylax autumnus";"1";"predation";"gut content"
"Isoperla clio";"Glossosoma intermedium";"1";"predation";"gut content"
"Isoperla clio";"Tendipedidae (unspecified)";"1";"predation";"gut content"
"Isoperla clio";"Simulium sp.";"1";"predation";"gut content"
"Isogenus decisus";"Baetis phoebus";"1";"predation";"gut content"
"Isogenus decisus";"B. herodes";"1";"predation";"gut content"
"Isogenus decisus";"Centroptilium rufostrigatum";"1";"predation";"gut content"
"Isogenus decisus";"Tendipedidae (unspecified)";"1";"predation";"gut content"
"Isogenus decisus";"Simulium sp.";"1";"predation";"gut content"
"Gammarus minus";"Diplectrona modesta";"1";"predation";"gut content"
"Gammarus minus";"Asellus brevicaudus";"1";"predation";"gut content"
"Gammarus minus";"Baetis phoebus";"1";"predation";"gut content"
"Gammarus minus";"B. herodes";"1";"predation";"gut content"
"Gammarus minus";"Centroptilium rufostrigatum";"1";"predation";"gut content"
"Gammarus minus";"Glossosoma intermedium";"1";"predation";"gut content"
"Gammarus minus";"Tendipedidae (unspecified)";"1";"predation";"gut content"
"Gammarus minus";"Simulium sp.";"1";"predation";"gut content"
"Gammarus minus";"detritus";"1";"commensalism";"gut content"
"Diplectrona modesta";"Baetis phoebus";"1";"predation";"gut content"
"Diplectrona modesta";"B. herodes";"1";"predation";"gut content"
"Diplectrona modesta";"Centroptilium rufostrigatum";"1";"predation";"gut content"
"Diplectrona modesta";"Epeorus pleuralis";"1";"predation";"gut content"
"Diplectrona modesta";"Tendipedidae (unspecified)";"1";"predation";"gut content"
"Diplectrona modesta";"Simulium sp.";"1";"predation";"gut content"
"Diplectrona modesta";"diatoms (unspec.)";"1";"herbivory";"gut content"
"Diplectrona modesta";"detritus";"1";"commensalism";"gut content"
"Phyacophila parantra";"Phagocata gracilis";"1";"predation";"gut content"
"Phyacophila parantra";"diatoms (unspec.)";"1";"herbivory";"gut content"
"Phyacophila parantra";"detritus";"1";"commensalism";"gut content"
"Asellus brevicaudus";"diatoms (unspec.)";"1";"herbivory";"gut content"
"Asellus brevicaudus";"detritus";"1";"commensalism";"gut content"
"Baetis phoebus";"diatoms (unspec.)";"1";"herbivory";"gut content"
"Baetis phoebus";"detritus";"1";"commensalism";"gut content"
"B. herodes";"diatoms (unspec.)";"1";"herbivory";"gut content"
"B. herodes";"detritus";"1";"commensalism";"gut content"
"Centroptilium rufostrigatum";"diatoms (unspec.)";"1";"herbivory";"gut content"
"Centroptilium rufostrigatum";"detritus";"1";"commensalism";"gut content"
"Epeorus pleuralis";"diatoms (unspec.)";"1";"herbivory";"gut content"
"Epeorus pleuralis";"detritus";"1";"commensalism";"gut content"
"Neophylax autumnus";"diatoms (unspec.)";"1";"herbivory";"gut content"
"Neophylax autumnus";"detritus";"1";"commensalism";"gut content"
"Glossosoma intermedium";"diatoms (unspec.)";"1";"herbivory";"gut content"
"Glossosoma intermedium";"detritus";"1";"commensalism";"gut content"
"Tendipedidae (unspecified)";"diatoms (unspec.)";"1";"herbivory";"gut content"
"Tendipedidae (unspecified)";"detritus";"1";"commensalism";"gut content"
"Simulium sp.";"diatoms (unspec.)";"1";"herbivory";"gut content"
"Simulium sp.";"detritus";"1";"commensalism";"gut content"
