"Torres, M.A., Coll, M., Heymans, J.J., Christensen, V., and Sobrino, I. (2013). Food-web structure of and fishing impacts on the Gulf of Cadiz ecosystem (South-western Spain). Ecological Modelling. 265, pp. 26-44.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gulf of Cadiz food web - South western Spain,Seabirds,Killer whales,Dolphins,Loggerhead turtles,Sharks,Demersal piscivores,Anglerfishes,Skates,Adult hake,Juvenile hake,Mackerels,Horse mackerels,Benthic cephalopods,Common octopus,Benthopelagic cephalopods,Deep-sea fishes,Large benthopelagic fishes,Small benthopelagic fishes,Flatfishes,Demersal fishes,Mullets,Commercial sparids (1),Commercial sparids (2),Blue whiting,Small demersal fishes,Anchovy,Sardine,Rose shrimp,Norway lobster,Mantis shrimp,Crabs,Shrimps,Gelatinous zooplankton,Benthic invertebrates (C.),Polychaetes,Suprabenthos,Benthic invertebrates (F/D/S),Bivalves,Macrozooplankton,Meso and microzooplankton
Benthopelagic cephalopods,0,0.389,0.048,0,0.078,0.013,0,0.01,0.006,0.007,0,0,0.128,0,0.007,0,0,0,0,0.013,0.001,0.015,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deep-sea fishes,0,0,0.02,0,0.01,0.028,0.026,0,0.002,0,0,0,0,0,0.003,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Large benthopelagic fishes,0,0,0,0,0.087,0.002,0,0,0.018,0.003,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small benthopelagic fishes,0,0,0.011,0,0.045,0.07,0,0,0.024,0.02,0,0,0.012,0,0.033,0.0002,0.363,0.001,0.018,0.003,0,0,0,0.038,0,0,0,0.068,0.184,0,0.021,0.01,0,0,0,0,0,0,0,0
Flatfishes,0,0,0.009,0,0.018,0.022,0.089,0.025,0.038,0.011,0,0,0,0,0.00003,0,0,0,0.004,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demersal fishes,0,0,0,0,0.005,0.026,0.102,0.058,0.007,0,0,0,0,0,0.022,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0
Mullets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Commercial sparids (1),0,0,0.003,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Commercial sparids (2),0,0,0.412,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue whiting,0,0,0.026,0,0.01,0.03,0,0,0.015,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small demersal fishes,0,0,0.003,0,0,0.046,0.018,0.01,0.071,0.117,0.075,0.086,0.038,0,0.037,0.004,0.001,0,0.189,0.031,0.002,0.076,0.277,0.094,0.005,0,0,0,0,0,0.034,0,0,0,0,0,0,0,0,0
Anchovy,0.089,0.026,0.076,0,0.047,0.066,0,0,0.298,0.193,0.078,0,0.059,0.185,0.3,0,0,0,0,0.01,0,0.007,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sardine,0.171,0.01,0.176,0,0.053,0.029,0,0,0.191,0,0,0,0.264,0.204,0.16,0,0,0,0.00003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rose shrimp,0,0,0.017,0,0.01,0.012,0.009,0.003,0.019,0.005,0,0,0.06,0.109,0,0.025,0,0,0,0.007,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway lobster,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mantis shrimp,0,0,0.003,0,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000005,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crabs,0,0,0,0.082,0.071,0.057,0,0.237,0.065,0.034,0,0.001,0.023,0.089,0.039,0.263,0.002,0,0.267,0.174,0.243,0.047,0.028,0.003,0.054,0,0,0.021,0.13,0.14,0.005,0,0,0,0,0,0,0,0,0
Shrimps,0,0.27,0.022,0,0.11,0.046,0.007,0.322,0.075,0.191,0.238,0.009,0.174,0.002,0.039,0.166,0.136,0.03,0.065,0.171,0.136,0.039,0.03,0.176,0.078,0,0,0.18,0.161,0.09,0.018,0.01,0,0,0,0,0,0,0,0
Gelatinous zooplankton,0,0,0,0.02,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0.007,0,0.001,0.002,0,0,0,0,0,0.096,0,0,0,0.05,0,0,0,0,0,0,0
Benthic invertebrates (C.),0,0,0,0.1,0.0001,0,0,0,0,0,0,0,0.011,0.105,0,0.007,0,0,0.003,0.025,0.014,0.053,0.101,0,0.025,0,0,0.005,0.048,0.2,0.05,0,0,0.05,0,0,0,0,0,0
Polychaetes,0,0,0,0,0.024,0.002,0,0.005,0,0,0.003,0,0,0,0,0.018,0,0,0.109,0.013,0.185,0.196,0.111,0,0.136,0,0,0.18,0.048,0.07,0.14,0.024,0,0.05,0,0,0,0,0,0
Suprabenthos,0,0,0,0,0.079,0.002,0,0.084,0.015,0.207,0.003,0.057,0.013,0.0001,0.052,0.444,0.04,0.095,0.247,0.23,0.35,0.061,0.021,0.398,0.158,0,0,0.157,0,0.09,0.179,0.326,0,0,0,0,0,0,0,0
Benthic invertebrates (F/D/S),0,0,0,0,0.002,0.005,0,0.011,0,0,0.021,0,0.0001,0,0,0.0003,0,0,0.014,0.264,0.003,0.372,0.017,0,0.001,0,0,0.11,0.076,0.2,0.085,0.002,0,0.312,0,0,0,0,0,0
Bivalves,0,0,0,0,0,0,0,0.215,0,0,0,0,0.031,0.166,0,0.00003,0,0,0.018,0.0004,0.053,0.024,0.113,0,0.033,0,0,0.069,0.037,0,0.234,0.084,0,0.052,0,0,0,0,0,0
Macrozooplankton,0.002,0,0,0,0.103,0.0003,0,0.01,0.007,0.175,0.505,0.848,0.17,0,0.259,0.072,0.458,0.36,0.062,0.029,0.002,0.002,0.046,0.271,0.011,0,0,0.043,0.099,0,0.009,0.344,0,0,0,0,0,0,0,0
Meso and microzooplankton,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0.513,0.000002,0.002,0.001,0.059,0,0,0.499,1,0.946,0.031,0.003,0,0.005,0,0.8,0.174,0,0.1,0,0,0.1,0
Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0.054,0,0,0,0,0.004,0.05,0.082,0.1,0.05,0,0.5,0.1,1
Detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.111,0.16,0.218,0.19,0,0.28,0.9,0.85,1,0.5,0.8,0
Discard,0.281,0,0,0.25,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
Import,0.404,0,0,0.448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
