"ID","Species","Interactions","Connectance","Type of interactions","Type of data","Reference","Locality of Studi","Latitude","Longitude"
"M_PL_061_11","18","17","0.236","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_12","19","24","0.286","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_13","26","39","0.293","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_14","17","18","0.273","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_15","24","33","0.306","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_16","27","41","0.27","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_17","22","19","0.162","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_18","29","35","0.177","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_19","32","44","0.19","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_20","25","25","0.162","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_21","29","43","0.217","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_22","28","28","0.156","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_23","36","45","0.173","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_24","29","46","0.232","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_25","16","21","0.382","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_26","20","28","0.308","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_27","19","21","0.269","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_28","27","36","0.237","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_29","26","39","0.271","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_30","20","30","0.33","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_31","24","35","0.368","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_32","24","28","0.259","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_33","8","6","0.5","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_34","10","9","0.429","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_35","22","19","0.162","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_36","24","31","0.261","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_37","30","43","0.206","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_38","33","49","0.213","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_39","30","46","0.286","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_40","35","58","0.248","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_41","13","11","0.306","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_42","17","16","0.242","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_43","25","26","0.181","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_44","21","23","0.209","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_45","34","50","0.198","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_46","34","45","0.165","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_47","35","57","0.244","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_48","23","32","0.254","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
